Tweet,User,User_ID,Geo,HashTag,Date
0,@ERodriguez782 and @JLo https://twitter.com/cbsmiami/status/1154059455555940352 …pic.twitter.com/agsMZcyq6n,BeachNewsAlerts,966847082,,,Wed Jul 24 16:46:15 +0000 2019
1,Happy Birthday @ERodriguez782!! https://twitter.com/stevenlfeldman/status/1153978793566121984 …pic.twitter.com/Jhpu4y4xlu,BeachNewsAlerts,966847082,,,Wed Jul 24 12:54:23 +0000 2019
2,Another one bites the dust. All the good ones are retiring.,BeachNewsAlerts,966847082,,,Fri Jul 19 20:43:03 +0000 2019
3,Why is Miami Beach getting the bad rap this hour? This was NOT a beach cop.,BeachNewsAlerts,966847082,,,Thu Jun 20 02:32:45 +0000 2019
4,Did Miami Beach annex Biscayne Boulevard? Last we checked it was in Miami.,BeachNewsAlerts,966847082,,,Thu Jun 20 02:27:34 +0000 2019
5,Billy there is a “temporarily” fixed license plate reader on the Mac Cswy as well as others permanently fixed around the city all year. Every license plate is scanned & officers citywide get notified when there is a hit on a vehicle. Unclear why the causeways need to be choked.,BeachNewsAlerts,966847082,,,Tue Jun 04 16:01:48 +0000 2019
6,Ofc. Ryan is has to be getting close! (Even though he’s retired)pic.twitter.com/Y4Bg0dd0OD,BeachNewsAlerts,966847082,,,Thu May 16 14:41:32 +0000 2019
7,pic.twitter.com/I0fIofeFqE,BeachNewsAlerts,966847082,,,Wed May 15 22:37:36 +0000 2019
8,Moving on to #SUPERBOWL2020 IN THE 305!!pic.twitter.com/pchnv2wTOh,BeachNewsAlerts,966847082,,#SUPERBOWL2020,Mon Feb 04 03:33:22 +0000 2019
9,Don’t do it. Stick to Motorola. Harris is junk. Get rid of Control Communications and get an old school HAM operator to fix your current system properly so you can go back to digital after all these years. It’s the best system Motorola ever made.,BeachNewsAlerts,966847082,,,Tue Jan 29 15:08:08 +0000 2019
10,Don’t do it. Stick to Motorola. Harris is junk. Get rid of Control Communications and get an old school HAM operator to fix your current system properly so you can go back to digital after all these years. It’s the best system Motorola ever made.,BeachNewsAlerts,966847082,,,Mon Jan 28 03:27:55 +0000 2019
11,BOLOpic.twitter.com/wvMLC0akhK,BeachNewsAlerts,966847082,,,Thu Jan 24 23:41:38 +0000 2019
12,"Ernie: “Hey Major, I see you’re having a “precious moment” with your family. Mind if I creep over your shoulder and snap a pic to tweet out to our 35.6k followers?” Major:pic.twitter.com/DaiGFAP0CB",BeachNewsAlerts,966847082,,,Thu Jan 24 19:17:31 +0000 2019
13,Creep much?,BeachNewsAlerts,966847082,,,Thu Jan 24 19:02:06 +0000 2019
14,"And that’s exactly where she got hit. We really need a crosswalk there. But since there is no crosswalk, someone needs to work with the administration of Nautilis middle school to educate kids not to just walk across the street at free will.",BeachNewsAlerts,966847082,,,Thu Jan 24 17:09:20 +0000 2019
