Tweet,User,User_ID,Geo,HashTag,Date
0,"More than 400 colorful balloons took to the sky at the ""Grand Est Mondial Air Ballons"" festival in France Monday. It was a world record attempt, but the festival fell short of breaking its own record for most hot air balloons to be in flight at the same time in less than an hour.pic.twitter.com/LIzdE4hz0j",CBSMiami,16334281,,,Tue Jul 30 18:15:00 +0000 2019
1,"Florida, Virginia among potential new sites for child migrant facilities #Immigration #UnaccompaniedMinorshttps://cbsloc.al/2OugOSq",CBSMiami,16334281,,#Immigration #UnaccompaniedMinorshttps,Tue Jul 30 18:13:44 +0000 2019
2,"When #Halloween falls on a weekday, would-be revelers can't stay up too late celebrating. That's kind of a bummer, but there's a growing movement to move the sugar-laden holiday to Saturday permanently. Do you like the idea?https://cbsloc.al/3170us9",CBSMiami,16334281,,#Halloween,Tue Jul 30 17:56:04 +0000 2019
3,"An attack on a Fort Lauderdale Walmart employee has led to federal charges against the scissor-wielding suspect, who now stands accused of threatening President Donald Trump.https://cbsloc.al/2LMATRy",CBSMiami,16334281,,,Tue Jul 30 17:10:40 +0000 2019
4,"PRESIDENT TRUMP: ""I am the least racist person there is anywhere in the world,"" Trump says Tuesday following backlash over recent tweets abt Congressman Elijah Cummings & city of Baltimore. ""What I’ve done for African Americans no president, I would say, has done.""pic.twitter.com/YPNDzZIGgP",CBSMiami,16334281,,,Tue Jul 30 16:53:10 +0000 2019
5,'Ryan Fitzpatrick Is Leading The Way': @MiamiDolphins coach Brian Flores on quarterback race. https://cbsloc.al/316ghY9 #FinsOn4 #finsup #Dolphins #MiamiDolphins @MikeCugnoCBS4 @JimBerrymedia @CBS4Sportspic.twitter.com/UBxZzRtbVq,CBSMiami,16334281,,#FinsOn4 #finsup #Dolphins #MiamiDolphins,Tue Jul 30 16:41:29 +0000 2019
6,WATCH LIVE: Stay up to date on all the day's news and click here to watch #CBS4 News at Noon online. http://cbsloc.al/2K3dyKj pic.twitter.com/07tdBQSznD,CBSMiami,16334281,,#CBS4,Tue Jul 30 15:57:00 +0000 2019
7,"Social media users are fighting back against a Facebook post written by an angry mother says she wants ""childless millennials"" banned from #DisneyWorld. https://cbsloc.al/2LOpd0H #millenials #childlessmillennial #Disney",CBSMiami,16334281,,#DisneyWorld #millenials #childlessmillennial #Disney,Tue Jul 30 15:52:39 +0000 2019
8,A leg bone found on Florida beach after Hurricane Irma belonged to a teen who went missing in 2013 after he got caught in rip current and was swept out into the Atlantic.https://cbsloc.al/2KcqHi1,CBSMiami,16334281,,,Tue Jul 30 15:39:33 +0000 2019
9,"The son of a Southwest Miami-Dade daycare center owner is scheduled to appear in federal magistrate’s court Tuesday afternoon, following his arrest during a child pornography investigation.https://cbsloc.al/30YvXN0",CBSMiami,16334281,,,Tue Jul 30 15:12:53 +0000 2019
10,Not one but two meteor showers will be streaking across the night sky beginning this weekend.https://cbsloc.al/316ENbH,CBSMiami,16334281,,,Tue Jul 30 14:53:14 +0000 2019
11,. @MiamiDadeCounty set to begin a battle this week against #Sargassum #seaweed washing ashore Miami area beaches. @MiamiBeachNews https://cbsloc.al/30YoCwW pic.twitter.com/CCWNkUktq2,CBSMiami,16334281,,#Sargassum #seaweed,Tue Jul 30 14:48:44 +0000 2019
12,#Trending - Today is National Cheesecake Day so the question is - what's your favorite type. New York style? Philadelphia style? Chicago style? More trending videos https://cbsloc.al/2Io5NxQ pic.twitter.com/dJnkmeZBdT,CBSMiami,16334281,,#Trending,Tue Jul 30 13:46:05 +0000 2019
13,Two #TSA officers on leave after a noose was found in nonpublic baggage screening at @iflymia. https://cbsloc.al/2MpISni #breakingnews from @krisvancleave,CBSMiami,16334281,,#TSA #breakingnews,Tue Jul 30 13:40:29 +0000 2019
14,#CBS4 meterorologist @JenniferWXwoman says we're in for a stormy weekend thanks to a tropical wave making its way across the Atlantic. https://cbsloc.al/2Yu0IYz @CraigSetzer @LissetteCBS4 @DaveWarrenCBS4,CBSMiami,16334281,,#CBS4,Tue Jul 30 13:28:45 +0000 2019
15,#Trending - The great internet debate rages on as to whether donut holes should be called that or donut balls or munchkins or timbits. So what do you call them? More trending videos https://cbsloc.al/2Io5NxQ pic.twitter.com/8AYqa8Kh2d,CBSMiami,16334281,,#Trending,Tue Jul 30 13:10:51 +0000 2019
16,. @MiamiDadeFire divers pulled a person from a vehicle that plunged into a canal next to the Turnpike at NW 74th Street.https://cbsloc.al/2YtG6Uh,CBSMiami,16334281,,,Tue Jul 30 12:44:59 +0000 2019
17,#RiseAndShine - #CBS4 meteorologist @JenniferWXwoman says we'll see passing showers this morning and partly cloudy skies this afternoon. More http://CBSMiami.com/Weather pic.twitter.com/5SImRwVcTs,CBSMiami,16334281,,#RiseAndShine #CBS4,Tue Jul 30 12:17:08 +0000 2019
18,MORNING HEADLINES - @browardsheriff identifies 2-year-old boy found dead in a hot van at Oakland Park daycare. South Florida mansion goes up in flames in Weston Hills. @MiamiDolphins fire 1st-year offensive line coach Pat Flaherty. More news at http://CBSMIAMI.COM pic.twitter.com/QXkcN8u2nn,CBSMiami,16334281,,,Tue Jul 30 12:16:29 +0000 2019
19,"The @MiamiDolphins and new head coach Brian Flores kick off the 2019 Preseason on Thursday, August 8th and you can catch the game on CBS4, your official home for Dolphins football #FinsUp #FinsOn4pic.twitter.com/UeF5zS3icw",CBSMiami,16334281,,#FinsUp #FinsOn4pic,Tue Jul 30 12:00:27 +0000 2019
20,Morning sunrise or alien invasion? What do you think this photo looks like? #TuesdayThoughts #TuesdayMorning #riseandshine Photo Credit: #CBS4 #WeatherWatcher Sherri Guidishpic.twitter.com/j96Mp6Wgef,CBSMiami,16334281,,#TuesdayThoughts #TuesdayMorning #riseandshine #CBS4 #WeatherWatcher,Tue Jul 30 11:49:14 +0000 2019
21,A swift moving fire destroyed a home in Weston Hills Monday night. No injuries were reported. https://cbsloc.al/2Mpppmt @browardsheriff,CBSMiami,16334281,,,Tue Jul 30 11:33:02 +0000 2019
22,CALL FOR NOMINATIONS - The CBS4 Nat Moore Trophy honors the top high school football player in South Florida. Find out more and enter your nomination here: http://natmooretrophy.com pic.twitter.com/8FH6Puk1vp,CBSMiami,16334281,,,Tue Jul 30 11:01:00 +0000 2019
