Tweet,User,User_ID,Geo,HashTag,Date
0,Man arrested after bludgeoning dog to death with sledgehammerhttp://bit.ly/2GCCTYF?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …,WPLGLocal10,18728203,,,Tue Jul 30 18:30:37 +0000 2019
1,"Amazon employees admit to listening to people having sex through users' Alexa devices, report says http://bit.ly/2YvoJlZ?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …pic.twitter.com/h0GPf4zdPo",WPLGLocal10,18728203,,,Tue Jul 30 17:24:41 +0000 2019
2,ENTER NOW Win a FREE week at Jr. @MiamiHeat Basketball Camp for your child http://bit.ly/2YgjTKg?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …pic.twitter.com/uKv2h6ZQvM,WPLGLocal10,18728203,,,Tue Jul 30 17:06:39 +0000 2019
3,Miami woman arrested after allegedly running over cheating boyfriend's loverhttp://bit.ly/2ympKy3?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …,WPLGLocal10,18728203,,,Tue Jul 30 16:19:10 +0000 2019
4,At-home nurse accused of raping 9-year-old girlhttp://bit.ly/2LRYxvV?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …,WPLGLocal10,18728203,,,Tue Jul 30 15:57:32 +0000 2019
5,VIDEO: 3 arrested after brutal fight on Key Largo dock caught on video http://bit.ly/2LOJCmn pic.twitter.com/Ix3RxTm1PS,WPLGLocal10,18728203,,,Tue Jul 30 15:43:44 +0000 2019
6,Flores says Fitzpatrick is front-runner in Dolphins QB racehttp://bit.ly/2LMnZTT?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …,WPLGLocal10,18728203,,,Tue Jul 30 15:05:04 +0000 2019
7,Police searching for woman who urinated on potatoes inside Walmart store http://bit.ly/2GE99uf?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …pic.twitter.com/3tXhz9QqxX,WPLGLocal10,18728203,,,Tue Jul 30 14:37:26 +0000 2019
8,"If you're one of the 100 MILLION people affected by the Capital One data breach, here's what you need to do.http://bit.ly/2OtBDxk?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …",WPLGLocal10,18728203,,,Tue Jul 30 14:23:21 +0000 2019
9,Man pulled from car found in canal near Florida's Turnpike in Doral https://bit.ly/2SOPflh?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …pic.twitter.com/qu253ec2hp,WPLGLocal10,18728203,,,Tue Jul 30 12:44:58 +0000 2019
10,Man 'severely stabbed' outside Pembroke Pines gas station https://bit.ly/2KgEzHZ?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wplg10 …pic.twitter.com/rIRVHQt2SV,WPLGLocal10,18728203,,,Tue Jul 30 11:34:42 +0000 2019
11,"A few storms starting off your Tuesday, grab your rain gear. Watch Meteorologist Julie Durda for more.pic.twitter.com/JOVymCkH15",WPLGLocal10,18728203,,,Tue Jul 30 09:35:24 +0000 2019
