Tweet,User,User_ID,Geo,HashTag,Date
0,Florida’s Turnpike has scheduled a full closure of all northbound and southbound travel lanes between Coconut Creek Parkway (Exit 67) and Commercial Boulevard (Exit 62) to allow crews to remove the existing toll canopy. For more information: https://bit.ly/2ZfZotG pic.twitter.com/Og7ywupumC,FLTurnpikeSFL,20461431,,,Mon Jul 29 20:04:19 +0000 2019
1,"If dropping off a child is not part of your normal routine, come up with a way to remind yourself that the child is in the car: a teddy bear up front, a rattle pinned to your seatbelt or your purse/briefcase in the back seat. #Checkforbaby #HeatstrokeKills #LookBeforeYouLockpic.twitter.com/0Lfc7ZxB9O",FLTurnpikeSFL,20461431,,#Checkforbaby #HeatstrokeKills #LookBeforeYouLockpic,Thu Jul 25 18:46:51 +0000 2019
2,"Rampa de entrada al Florida’s Turnpike desde la Avenida 117 o Calle 152 del suroeste se abrirá en una nueva configuración la mañana del viernes, 12 de julio.pic.twitter.com/a5ts3jTfaY",FLTurnpikeSFL,20461431,,,Thu Jul 11 22:09:08 +0000 2019
3,"Northbound Florida’s Turnpike Entrance Ramp from SW 117th Avenue/SW 152nd Street To Open in a New Configuration the Morning of Friday, July 12. https://bit.ly/2YQDAo2 pic.twitter.com/2N6BKsy2Tw",FLTurnpikeSFL,20461431,,,Thu Jul 11 20:50:00 +0000 2019
4,One Southbound Lane of Florida’s Turnpike at Sunrise Boulevard Has Reopenedpic.twitter.com/wvlZrJ8IDj,FLTurnpikeSFL,20461431,,,Tue Jul 09 00:52:16 +0000 2019
5,One Southbound Lane of Florida’s Turnpike at Sunrise Boulevard Temporarily Closed to Perform Drainage Repairs.pic.twitter.com/LoomQS0S8F,FLTurnpikeSFL,20461431,,,Mon Jul 08 19:47:35 +0000 2019
6,UPDATE: Both directions of Florida’s Turnpike at SW 8th Street/Tamiami Trail (Exit 25) have been reopened. For more information: https://bit.ly/2YrecoK pic.twitter.com/dVDpxx1p4T,FLTurnpikeSFL,20461431,,,Wed Jul 03 15:46:31 +0000 2019
7,"Florida’s Turnpike announces lane closures and work zone information for construction and maintenance projects in Miami-Dade, Broward, Palm Beach, Martin and St. Lucie counties, for the week beginning Sunday, June 3. For More Info: https://bit.ly/2sHOzTT pic.twitter.com/e1UnTwa0zF",FLTurnpikeSFL,20461431,,,Mon Jul 01 19:48:52 +0000 2019
8,Florida's Turnpike has scheduled a full closure of NB and SB Florida's Turnpike at SW 8th Street/Tamiami Trail (Exit 25) For More Info: https://bit.ly/2XGCxtC pic.twitter.com/MLCY5Px2N6,FLTurnpikeSFL,20461431,,,Mon Jul 01 19:48:20 +0000 2019
9,"Florida's Turnpike is announcing lane closures and work zone information for construction and maintenance projects in Miami-Dade, Broward, Palm Beach, Martin and St. Lucie Counties. For More: https://bit.ly/2sHOzTT pic.twitter.com/gVwNlGxOVN",FLTurnpikeSFL,20461431,,,Mon Jun 24 16:12:20 +0000 2019
10,Florida’s Turnpike has scheduled a full closure of southbound MDX SR 874/Don Shula Expressway at Killian Parkway/SW 104th Street tonight through Wednesday night. For More: https://bit.ly/2ImgIqX pic.twitter.com/Enmo8oELNW,FLTurnpikeSFL,20461431,,,Mon Jun 17 13:18:07 +0000 2019
