Tweet,User,User_ID,Geo,HashTag,Date
0,FaceApp let us see our older selves. What does it mean for today? | Opinion https://trib.al/EOOUfTO pic.twitter.com/GtSOykXNpm,SunSentinel,12699932,,,Tue Jul 30 21:41:05 +0000 2019
1,Fatherhood has changed Hurricanes running back DeeJay Dallas’ perspective — but not his drive https://trib.al/ld9MEYl pic.twitter.com/xtcwbvNPq4,SunSentinel,12699932,,,Tue Jul 30 21:12:18 +0000 2019
2,First day under new position coach Dave DeGuglielmo sees plenty of changes made to Dolphins offensive line https://trib.al/tL19q39 pic.twitter.com/krRY6Fj7KH,SunSentinel,12699932,,,Tue Jul 30 20:48:01 +0000 2019
3,Day care center where toddler died shut down as detectives investigate https://trib.al/ZRrkEKV pic.twitter.com/apfqb69DLu,SunSentinel,12699932,,,Tue Jul 30 20:46:06 +0000 2019
4,Rookie Tyler Herro knows defense will be key to cracking Heat rotation https://trib.al/zWAVUP2 pic.twitter.com/CyczLp3is8,SunSentinel,12699932,,,Tue Jul 30 20:22:58 +0000 2019
5,Skip the clip: Box Tops for Education goes digital https://trib.al/FTyxLer pic.twitter.com/t95wlRCjv4,SunSentinel,12699932,,,Tue Jul 30 20:02:12 +0000 2019
6,Jennifer Lopez to play Miami cocaine godmother Griselda Blanco https://trib.al/QQFavj8 pic.twitter.com/3IrjIFgbTZ,SunSentinel,12699932,,,Tue Jul 30 20:02:12 +0000 2019
7,"Man, 25, forced two sisters into prostitution, raped and beat them, police say https://trib.al/0ufZ5Au pic.twitter.com/6oQP6KnRcJ",SunSentinel,12699932,,,Tue Jul 30 19:58:35 +0000 2019
8,"Man, 25, facing human trafficking charges after he allegedly forced two sisters into prostitution, and beat and raped them https://trib.al/0USot6V pic.twitter.com/u2DyLBLQHV",SunSentinel,12699932,,,Tue Jul 30 19:38:00 +0000 2019
9,"Dolphins training camp day 5: Stock up, stock down and other observations https://trib.al/l2Vp25q pic.twitter.com/nPijR9P5mF",SunSentinel,12699932,,,Tue Jul 30 19:22:43 +0000 2019
10,From our news partners @CBS12https://twitter.com/CBS12/status/1156278556995010560 …,SunSentinel,12699932,,,Tue Jul 30 19:04:41 +0000 2019
11,Some Jeffrey Epstein victims don’t want new charges in South Florida https://trib.al/zmv60Ey pic.twitter.com/vVa8EDpmjC,SunSentinel,12699932,,,Tue Jul 30 18:43:11 +0000 2019
12,"State approves Citizens Insurance rate hikes for Broward, Palm Beach customershttps://trib.al/xb5F2mj",SunSentinel,12699932,,,Tue Jul 30 18:32:28 +0000 2019
13,A judge provides much-needed sanity on Florida gun laws | Editorial https://trib.al/MeKzvBc pic.twitter.com/AQi55GDG8z,SunSentinel,12699932,,,Tue Jul 30 18:12:15 +0000 2019
14,"The tropical wave in the Caribbean is producing disorganized showers and thunderstorms over Hispaniola, Puerto Rico, and the Virgin Islands. The National Hurricane Center's latest advisory just posted minutes ago: https://trib.al/TixLaGA pic.twitter.com/n43Vp66sT1",SunSentinel,12699932,,,Tue Jul 30 17:58:43 +0000 2019
15,Florida Panthers promote Randy Moller to television color analyst https://trib.al/VSaSKRn pic.twitter.com/eTvOEGIKRI,SunSentinel,12699932,,,Tue Jul 30 17:25:52 +0000 2019
16,"Rob Gronkowski to Miami? Probably not for football, but check out the sleek condo he just bought here. https://trib.al/QdFscYa pic.twitter.com/bxOJwNqVO4",SunSentinel,12699932,,,Tue Jul 30 17:25:52 +0000 2019
17,Day care shut down as Broward Sheriff’s Office probes death of toddler left in hot van https://trib.al/69cqapC pic.twitter.com/NkAkMG5Hwf,SunSentinel,12699932,,,Tue Jul 30 17:18:56 +0000 2019
18,"‘We are coming for you Trump’: Man accused of trying to slash Walmart employee in Fort Lauderdale threatened president, feds say https://trib.al/FR7M39V pic.twitter.com/DKa7Ekt9yk",SunSentinel,12699932,,,Tue Jul 30 17:12:26 +0000 2019
19,Pedestrian dead after being struck by Brightline train in Hollywood https://trib.al/8RgZqoW pic.twitter.com/BHKVTWu4q8,SunSentinel,12699932,,,Tue Jul 30 17:09:08 +0000 2019
20,Boca woman avoids prosecution after ‘mass shooting’ post on social media https://trib.al/WfZHtx7 pic.twitter.com/pu1E4XUa4s,SunSentinel,12699932,,,Tue Jul 30 16:46:32 +0000 2019
21,Florida man accused of threatening President Trump at Walmart in Fort Lauderdale https://trib.al/eKWrQ6g pic.twitter.com/fXpojqLpaU,SunSentinel,12699932,,,Tue Jul 30 16:24:51 +0000 2019
22,Landshark Lager looking for people to swim with sharks in South Florida https://trib.al/4LQqbNZ pic.twitter.com/2ILkSNRyBq,SunSentinel,12699932,,,Tue Jul 30 16:06:20 +0000 2019
23,Fort Lauderdale neighborhood’s water still not safe to drink - South Florida Sun-Sentinel https://trib.al/5kl56gm pic.twitter.com/5eBLChQBUE,SunSentinel,12699932,,,Tue Jul 30 15:45:11 +0000 2019
24,"Dolphins coach on who is winning starting QB battle: ‘It’s pretty clear to me, Ryan Fitzpatrick is leading the way’ https://trib.al/ND0VB2r pic.twitter.com/KvdiIs74BG",SunSentinel,12699932,,,Tue Jul 30 15:22:43 +0000 2019
25,"There are two tropical systems in the Atlantic with paths toward Florida. Both currently have low chances of developing, but are reminders to always be ready in case systems like these surprise us. Use our hurricane guide here to be ready: https://bit.ly/316Iiil pic.twitter.com/JAcaMQczJv",SunSentinel,12699932,,,Tue Jul 30 15:10:22 +0000 2019
26,Brian Flores says he went with “my gut” swapping Dolphins O-line coaches https://trib.al/jZoZZ7k pic.twitter.com/JAjqXFD2ow,SunSentinel,12699932,,,Tue Jul 30 15:02:43 +0000 2019
27,UPDATE: Day care is shut down after 2-year-old boy’s death in hot van. https://trib.al/rxMe4Gy pic.twitter.com/jbvV0saU7U,SunSentinel,12699932,,,Tue Jul 30 14:41:47 +0000 2019
28,Fort Lauderdale neighborhood’s water still not safe to drinkhttps://www.sun-sentinel.com/local/broward/fort-lauderdale/fl-ne-fort-lauderdale-boil-water-order-extended-20190729-kcke57p43fgv7apfbs53ykclt4-story.html …,SunSentinel,12699932,,,Tue Jul 30 14:39:09 +0000 2019
29,Trump stands up for Jews … and is creating a kingdom | Letters to the editor https://trib.al/EexTbTb pic.twitter.com/CFqTISwKDX,SunSentinel,12699932,,,Tue Jul 30 14:36:17 +0000 2019
30,‘Below Deck’ captain Lee Rosbach shares news of son’s death https://trib.al/z85zLYx pic.twitter.com/T2uaZR8QI3,SunSentinel,12699932,,,Tue Jul 30 14:15:18 +0000 2019
31,Huge house consumed by flames in Weston https://trib.al/655Ylex pic.twitter.com/XudVGf9xD2,SunSentinel,12699932,,,Tue Jul 30 13:55:04 +0000 2019
