Tweet,User,User_ID,Geo,HashTag,Date
0,"This is the last week to sign-up your teens for our Department of Emergency Management's Teen CERT Summer Camp, where they'll learn what to do in case of an emergency. They're also eligible to receive community service hours. Register them by emailing DEM@miamibeachfl.govpic.twitter.com/u4kBrp7Znp",MiamiBeachNews,17931773,,,Tue Jul 30 18:16:25 +0000 2019
1,So do we! #ExperienceMiamiBeachhttps://twitter.com/SunsetIsl/status/1156248078942425088 …,MiamiBeachNews,17931773,,#ExperienceMiamiBeachhttps,Tue Jul 30 17:47:40 +0000 2019
2,They’re one of a kind! #ExperienceMiamiBeachhttps://twitter.com/anthonyquintano/status/1154900471280222208 …,MiamiBeachNews,17931773,,#ExperienceMiamiBeachhttps,Tue Jul 30 16:54:32 +0000 2019
3,‘ @OCINEMA expanding to South Beach!’ Read more via the @MiamiHerald: https://www.miamiherald.com/entertainment/article233288327.html … #MBArtsAndCulture,MiamiBeachNews,17931773,,#MBArtsAndCulture,Tue Jul 30 16:00:19 +0000 2019
4,Every morning should begin with a view like this #ExperienceMiamiBeachhttps://twitter.com/ddelaespriella/status/1156159684300218368 …,MiamiBeachNews,17931773,,#ExperienceMiamiBeachhttps,Tue Jul 30 13:54:05 +0000 2019
5,See you tomorrow morning as we kick off the first portion of a citywide traffic calming project to make residential streets more safe & pedestrian-friendly! #GOMB2018pic.twitter.com/LPYrL8RR8m,MiamiBeachNews,17931773,,#GOMB2018pic,Mon Jul 29 19:28:20 +0000 2019
6,"#HurricaneSeason lasts six months, preparedness is year-round. Learn more about hurricane preparations & the city’s resilience efforts today! #MBRisingAbove http://www.mbrisingabove.com/your-city-at-work/resilience-strategy/ …pic.twitter.com/l5LQmR25a3",MiamiBeachNews,17931773,,#HurricaneSeason #MBRisingAbove,Mon Jul 29 17:45:54 +0000 2019
7,"Our weekly #MBArtsAndCulture guide comes out every Wednesday afternoon, sign-up today to receive info on events & exhibits happening on Miami Beach: https://bit.ly/2YuL7s4 pic.twitter.com/yxZBEuJky9",MiamiBeachNews,17931773,,#MBArtsAndCulture,Mon Jul 29 17:05:40 +0000 2019
8,Best way to get around town! #MBTrolleyhttps://twitter.com/MiamiDadeWomen/status/1155864440295874561 …,MiamiBeachNews,17931773,,#MBTrolleyhttps,Mon Jul 29 16:57:23 +0000 2019
9,Looking for Last Minute Summer Travel ideas? Miami Beach is the Answer! Read more via @LuxuryTravelmag: https://www.luxurytravelmagazine.com/news-articles/looking-for-last-minute-summer-travel-ideas-miami-beach-is-the-answer … #ExperienceMiamiBeachpic.twitter.com/KxCYnhGeOd,MiamiBeachNews,17931773,,#ExperienceMiamiBeachpic,Mon Jul 29 15:16:53 +0000 2019
10,"Last Monday we celebrated Simón Bolívar y Las Americas Day with performers, speakers, some cafecito y pastelitos in Collins Park!pic.twitter.com/fVs1D7M4q8",MiamiBeachNews,17931773,,,Mon Jul 29 14:40:36 +0000 2019
